Mes,ME/USD,Moneda,Anho,G/ME
6,"7,7582",FRF,2001,"515,58"
6,"10,8700",SEK,2001,"367,99"
6,"2,6064",NLG,2001,"1.534,68"
6,"8,8053",DKK,2001,"454,27"
6,"196,7900",ESP,2001,"20,33"
6,"9,2964",NOK,2001,"430,27"
6,"16,2747",ATS,2001,"245,78"
6,"2.290,0900",ITL,2001,"1,75"
6,"47,7110",BEF,2001,"83,84"
6,"2,2850",BRL,2001,"1.750,55"
6,"0,9998",ARS,2001,"4.000,80"
6,"1,5227",CAD,2001,"2.626,91"
6,"8,0550",ZAR,2001,"496,59"
6,"1,2474",SDR,2001,"4.989,60"
6,"268,1500",XAU,2001,"1.072.600,00"
6,"718,1000",VEF,2001,"5,57"
6,"626,1000",CLP,2001,"6,39"
6,"0,8453",EUR,2001,"3.381,20"
6,"13,5700",UYU,2001,"294,77"
7,"1,0000",USD,2001,"4.290,00"
7,"2,2345",DEM,2001,"1.919,89"
7,"125,1700",JPY,2001,"34,27"
7,"1,4258",GBP,2001,"6.116,68"
7,"1,7262",CHF,2001,"2.485,23"
7,"7,4941",FRF,2001,"572,45"
7,"10,6000",SEK,2001,"404,72"
7,"2,5177",NLG,2001,"1.703,94"
7,"8,5048",DKK,2001,"504,42"
7,"190,0900",ESP,2001,"22,57"
7,"9,1350",NOK,2001,"469,62"
7,"15,7207",ATS,2001,"272,89"
7,"2.212,1200",ITL,2001,"1,94"
7,"46,0870",BEF,2001,"93,08"
7,"2,4430",BRL,2001,"1.756,04"
7,"0,9996",ARS,2001,"4.291,72"
7,"1,5298",CAD,2001,"2.804,29"
7,"8,2214",ZAR,2001,"521,81"
7,"1,2575",SDR,2001,"5.394,68"
7,"265,8000",XAU,2001,"1.140.282,00"
7,"724,8500",VEF,2001,"5,92"
7,"664,0000",CLP,2001,"6,46"
7,"0,8749",EUR,2001,"3.753,32"
7,"13,4000",UYU,2001,"320,15"
8,"1,0000",USD,2001,"4.310,00"
8,"2,1329",DEM,2001,"2.020,72"
8,"119,3200",JPY,2001,"36,12"
8,"1,4581",GBP,2001,"6.284,41"
8,"1,6538",CHF,2001,"2.606,12"
8,"7,1533",FRF,2001,"602,52"
8,"10,3505",SEK,2001,"416,41"
8,"2,4032",NLG,2001,"1.793,44"
8,"8,1150",DKK,2001,"531,12"
8,"181,4500",ESP,2001,"23,75"
8,"8,7852",NOK,2001,"490,60"
8,"15,0058",ATS,2001,"287,22"
8,"2.111,5300",ITL,2001,"2,04"
8,"43,9910",BEF,2001,"97,97"
8,"2,5430",BRL,2001,"1.694,85"
8,"0,9998",ARS,2001,"4.310,86"
8,"1,5460",CAD,2001,"2.787,84"
